location,Sfax
lat,34.70725
lon,10.66667
asl,49.214
variable,Sunshine Duration
unit,min
level,sfc
resolution,daily
aggregation,Summation
timestamp,Sfax Sunshine Duration
20190101T0000,369.08014
20190102T0000,594.0156
20190103T0000,477.2204
20190104T0000,322.253
20190105T0000,547.3111
20190106T0000,226.46597
20190107T0000,339.88968
20190108T0000,313.5461
20190109T0000,426.1965
20190110T0000,398.1135
20190111T0000,98.66507
20190112T0000,479.88406
20190113T0000,152.49097
20190114T0000,599.0486
20190115T0000,589.6351
20190116T0000,521.5767
20190117T0000,558.22626
20190118T0000,524.26575
20190119T0000,611.32336
20190120T0000,560.5644
20190121T0000,568.72943
20190122T0000,11.903721
20190123T0000,408.11108
20190124T0000,422.48087
20190125T0000,460.37622
20190126T0000,383.486
20190127T0000,623.4355
20190128T0000,211.0461
20190129T0000,468.07303
20190130T0000,367.2077
20190131T0000,334.00317
20190201T0000,607.5927
20190202T0000,547.00806
20190203T0000,363.2713
20190204T0000,463.07022
20190205T0000,116.76366
20190206T0000,639.21277
20190207T0000,243.22339
20190208T0000,527.69446
20190209T0000,548.3805
20190210T0000,649.23334
20190211T0000,608.4823
20190212T0000,636.02167
20190213T0000,596.7872
20190214T0000,586.4071
20190215T0000,653.3681
20190216T0000,451.7956
20190217T0000,556.8151
20190218T0000,504.44113
20190219T0000,607.78955
20190220T0000,387.51294
20190221T0000,457.9266
20190222T0000,287.93933
20190223T0000,381.8406
20190224T0000,304.44537
20190225T0000,261.21542
20190226T0000,546.5238
20190227T0000,605.9215
20190228T0000,451.883
20190301T0000,688.14996
20190302T0000,689.34393
20190303T0000,502.51932
20190304T0000,693.75214
20190305T0000,696.73334
20190306T0000,697.6777
20190307T0000,604.7563
20190308T0000,490.48355
20190309T0000,580.85144
20190310T0000,677.8755
20190311T0000,492.36017
20190312T0000,699.77234
20190313T0000,714.0833
20190314T0000,671.62555
20190315T0000,590.88367
20190316T0000,720.65
20190317T0000,722.81665
20190318T0000,724.395
20190319T0000,661.1528
20190320T0000,75.8282
20190321T0000,617.4197
20190322T0000,435.07126
20190323T0000,230.4204
20190324T0000,568.41486
20190325T0000,721.3436
20190326T0000,587.29553
20190327T0000,54.4633
20190328T0000,485.0594
20190329T0000,433.71967
20190330T0000,618.3499
20190331T0000,253.24823
20190401T0000,35.802837
20190402T0000,489.47076
20190403T0000,345.4591
20190404T0000,393.97327
20190405T0000,122.67517
20190406T0000,695.13055
20190407T0000,627.89185
20190408T0000,546.49365
20190409T0000,630.1563
20190410T0000,756.25183
20190411T0000,657.55853
20190412T0000,568.4044
20190413T0000,482.51135
20190414T0000,782.61163
20190415T0000,666.06805
20190416T0000,708.305
20190417T0000,765.789
20190418T0000,710.6245
20190419T0000,533.46375
20190420T0000,607.04865
20190421T0000,619.91205
20190422T0000,778.35516
20190423T0000,767.3914
20190424T0000,625.44366
20190425T0000,782.24677
20190426T0000,695.20184
20190427T0000,750.02167
20190428T0000,811.31665
20190429T0000,810.9543
20190430T0000,592.1274
20190501T0000,777.1105
20190502T0000,698.04926
20190503T0000,443.62943
20190504T0000,585.7341
20190505T0000,679.3743
20190506T0000,758.39044
20190507T0000,801.3078
20190508T0000,777.57306
20190509T0000,789.47614
20190510T0000,737.02
20190511T0000,815.0563
20190512T0000,744.2016
20190513T0000,352.02002
20190514T0000,350.95178
20190515T0000,510.956
20190516T0000,767.5754
20190517T0000,711.1142
20190518T0000,727.48486
20190519T0000,617.6176
20190520T0000,781.133
20190521T0000,581.0457
20190522T0000,744.77515
20190523T0000,632.47064
20190524T0000,665.09326
20190525T0000,436.93475
20190526T0000,537.9177
20190527T0000,560.38904
20190528T0000,828.29694
20190529T0000,770.3075
20190530T0000,753.6037
20190531T0000,811.50525
20190601T0000,607.2862
20190602T0000,854.8576
20190603T0000,863.7378
20190604T0000,862.782
20190605T0000,854.58624
20190606T0000,587.1192
20190607T0000,866.9722
20190608T0000,844.33826
20190609T0000,838.82733
20190610T0000,792.9124
20190611T0000,603.06384
20190612T0000,869.24506
20190613T0000,708.8865
20190614T0000,659.69006
20190615T0000,771.10864
20190616T0000,816.8627
20190617T0000,650.0456
20190618T0000,871.7833
20190619T0000,821.0763
20190620T0000,629.63763
20190621T0000,696.05884
20190622T0000,790.86725
20190623T0000,871.55035
20190624T0000,871.4337
20190625T0000,871.6667
20190626T0000,751.12695
20190627T0000,812.0093
20190628T0000,754.76306
20190629T0000,870.39185
20190630T0000,859.42944
20190701T0000,765.19824
20190702T0000,806.87805
20190703T0000,859.1976
20190704T0000,845.4851
20190705T0000,856.9752
20190706T0000,859.5305
20190707T0000,800.10004
20190708T0000,859.24164
20190709T0000,864.63336
20190710T0000,815.1617
20190711T0000,853.96387
20190712T0000,853.5528
20190713T0000,861.01666
20190714T0000,824.65247
20190715T0000,855.1369
20190716T0000,830.705
20190717T0000,799.3365
20190718T0000,630.5272
20190719T0000,749.1142
20190720T0000,828.60815
20190721T0000,845.07733
20190722T0000,782.3964
20190723T0000,849.31665
20190724T0000,847.95
20190725T0000,846.55
20190726T0000,835.6961
20190727T0000,784.6649
20190728T0000,842.1667
20190729T0000,833.7489
20190730T0000,802.32294
20190731T0000,815.114
20190801T0000,835.50635
20190802T0000,821.37317
20190803T0000,816.1138
20190804T0000,812.4602
20190805T0000,815.45056
20190806T0000,802.4761
20190807T0000,731.86444
20190808T0000,813.2131
20190809T0000,822.4166
20190810T0000,820.61664
20190811T0000,818.80005
