location,Sfax,Sfax,Sfax
lat,34.70725,34.70725,34.70725
lon,10.66667,10.66667,10.66667
asl,49.214,49.214,49.214
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Minimum,Maximum,Mean
timestamp,Sfax Temperature [2 m elevation corrected],Sfax Temperature [2 m elevation corrected],Sfax Temperature [2 m elevation corrected]
20190101T0000,9.537891,17.09789,13.54789
20190102T0000,11.847891,20.74789,15.414558
20190103T0000,8.837891,15.807891,13.061641
20190104T0000,6.3678913,13.24789,9.708724
20190105T0000,6.6078916,14.007891,10.364558
20190106T0000,9.817891,18.137892,13.521641
20190107T0000,11.017891,16.74789,13.736225
20190108T0000,9.887891,16.98789,13.28539
20190109T0000,9.297891,17.66789,13.087058
20190110T0000,9.147891,16.09789,12.018307
20190111T0000,7.5778913,11.517891,9.432057
20190112T0000,6.947891,13.447891,9.792058
20190113T0000,8.017891,15.907891,11.98289
20190114T0000,11.637891,20.467892,15.329556
20190115T0000,10.617891,18.887892,14.449557
20190116T0000,9.177891,16.157892,12.791641
20190117T0000,9.567891,16.207891,12.69664
20190118T0000,8.057891,17.47789,12.685807
20190119T0000,8.397891,16.367891,12.353309
20190120T0000,7.8078914,16.237892,12.2808075
20190121T0000,11.267891,18.67789,14.57664
20190122T0000,9.727891,13.827891,11.871226
20190123T0000,6.7978916,14.477891,10.777058
20190124T0000,9.507891,12.617891,11.415393
20190125T0000,8.387891,14.317891,11.0828905
20190126T0000,7.2778916,15.927891,11.308724
20190127T0000,8.867891,17.527891,13.097058
20190128T0000,9.927891,15.767891,13.255809
20190129T0000,9.397891,15.337891,12.041641
20190130T0000,9.9578905,18.807892,14.054141
20190131T0000,8.917891,17.49789,13.614556
20190201T0000,11.297891,21.89789,16.423307
20190202T0000,13.537891,21.467892,17.176226
20190203T0000,8.49789,15.867891,12.131641
20190204T0000,8.157891,13.477891,10.459556
20190205T0000,10.9578905,13.387891,12.2374735
20190206T0000,10.517891,17.807892,13.21664
20190207T0000,9.317891,17.197891,12.734557
20190208T0000,7.717891,18.24789,13.012057
20190209T0000,10.217891,18.377892,13.910809
20190210T0000,10.167891,20.707891,14.76164
20190211T0000,10.417891,18.81789,14.74706
20190212T0000,10.567891,16.08789,13.183307
20190213T0000,9.127891,17.037891,12.504974
20190214T0000,8.607891,16.39789,12.398724
20190215T0000,7.3278913,18.32789,12.129142
20190216T0000,7.9378915,14.897891,12.057059
20190217T0000,6.0978913,14.677891,10.852474
20190218T0000,9.127891,15.9578905,12.585808
20190219T0000,9.717891,17.16789,13.3937235
20190220T0000,10.057891,17.01789,13.565807
20190221T0000,9.977891,16.047892,12.99664
20190222T0000,9.74789,18.74789,13.531223
20190223T0000,7.5578914,17.41789,12.653726
20190224T0000,7.6178913,13.197891,10.58164
20190225T0000,9.657891,14.777891,11.854558
20190226T0000,7.9378915,13.187891,10.6141405
20190227T0000,8.157891,18.65789,12.82664
20190228T0000,8.657891,18.107891,13.368309
20190301T0000,9.857891,21.32789,15.765391
20190302T0000,11.49789,22.15789,16.361223
20190303T0000,10.117891,21.777891,15.510807
20190304T0000,9.447891,18.66789,14.455391
20190305T0000,11.367891,24.547892,17.871225
20190306T0000,11.74789,24.49789,18.360392
20190307T0000,13.167891,25.957891,19.127474
20190308T0000,14.227891,20.41789,17.243309
20190309T0000,13.627891,18.627892,15.79039
20190310T0000,12.367891,19.15789,15.534556
20190311T0000,13.607891,19.797892,16.964975
20190312T0000,12.977891,20.627892,16.304556
20190313T0000,9.427891,19.59789,15.040811
20190314T0000,13.347891,20.057892,16.40914
20190315T0000,11.307891,23.74789,16.979141
20190316T0000,12.107891,24.15789,18.127058
20190317T0000,11.24789,26.687891,19.22206
20190318T0000,13.367891,23.91789,18.014559
20190319T0000,12.9578905,18.287891,15.279976
20190320T0000,11.727891,15.727891,13.476643
20190321T0000,8.887891,15.657891,13.036643
20190322T0000,12.527891,14.617891,13.654141
20190323T0000,10.587891,15.447891,13.342059
20190324T0000,11.437891,18.467892,14.939975
20190325T0000,12.447891,23.457891,17.587057
20190326T0000,15.467891,20.72789,17.76956
20190327T0000,11.647891,16.717892,13.32664
20190328T0000,11.317891,17.457891,14.209141
20190329T0000,11.857891,18.777891,14.965809
20190330T0000,11.7078905,17.67789,14.582892
20190331T0000,12.837891,18.617891,15.541638
20190401T0000,13.067891,15.387891,14.60164
20190402T0000,12.867891,18.33789,15.5170555
20190403T0000,13.927891,20.32789,16.77539
20190404T0000,14.827891,18.697891,17.129974
20190405T0000,13.467891,16.237892,15.097058
20190406T0000,11.197891,18.277891,14.69539
20190407T0000,12.947891,20.137892,15.625806
20190408T0000,12.527891,21.25789,16.422474
20190409T0000,13.427891,25.887892,19.059557
20190410T0000,15.647891,20.65789,17.69247
20190411T0000,14.657891,19.637892,17.039976
20190412T0000,13.477891,21.617891,17.370806
20190413T0000,12.9578905,21.81789,17.002474
20190414T0000,11.907891,23.58789,18.053724
20190415T0000,15.107891,25.937891,20.115393
20190416T0000,14.197891,20.617891,17.048307
20190417T0000,15.387891,21.367891,17.95789
20190418T0000,16.40789,20.787891,18.013725
20190419T0000,16.47789,19.64789,17.822058
20190420T0000,16.447891,19.457891,17.587477
20190421T0000,17.867891,21.297892,19.51539
20190422T0000,20.82789,30.56789,26.168306
20190423T0000,18.25789,29.947891,23.27456
20190424T0000,17.787891,24.617891,20.602476
20190425T0000,17.82789,24.777891,20.58539
20190426T0000,17.14789,25.58789,20.696222
20190427T0000,17.24789,25.187891,20.634142
20190428T0000,14.987891,22.51789,18.454975
20190429T0000,14.827891,22.687891,18.80414
20190430T0000,15.927891,20.25789,17.957472
20190501T0000,14.727891,20.00789,17.392473
20190502T0000,15.347891,21.09789,18.20414
20190503T0000,18.59789,21.777891,19.85539
20190504T0000,16.437891,24.40789,20.479557
20190505T0000,15.817891,23.687891,19.411642
20190506T0000,16.027891,23.287891,18.881643
20190507T0000,15.24789,20.58789,17.959558
20190508T0000,15.667891,23.387892,19.587477
20190509T0000,18.057892,30.22789,23.077055
20190510T0000,18.90789,26.557892,22.58164
20190511T0000,18.98789,27.67789,22.633307
20190512T0000,19.357891,27.367891,23.07747
20190513T0000,16.687891,24.50789,20.394976
20190514T0000,15.897891,22.207891,19.034142
20190515T0000,16.26789,25.09789,20.798307
20190516T0000,17.287891,25.26789,20.898308
20190517T0000,16.84789,24.127892,20.409557
20190518T0000,18.457891,24.59789,21.266226
20190519T0000,17.23789,23.107891,19.694975
20190520T0000,17.867891,22.76789,19.949142
20190521T0000,17.81789,23.447891,20.154558
20190522T0000,18.58789,23.857891,20.952059
20190523T0000,18.47789,25.16789,21.63997
20190524T0000,18.57789,25.947891,21.987886
20190525T0000,19.91789,22.367891,21.264975
20190526T0000,18.437891,23.09789,20.388308
20190527T0000,17.98789,25.107891,21.61664
20190528T0000,17.857891,25.74789,22.402475
20190529T0000,19.56789,29.277891,23.571222
20190530T0000,18.09789,23.687891,20.652475
20190531T0000,17.547892,24.057892,20.49539
20190601T0000,17.90789,24.797892,20.984976
20190602T0000,17.557892,25.16789,21.213724
20190603T0000,18.107891,26.91789,22.915808
20190604T0000,20.127892,28.437891,24.291641
20190605T0000,22.06789,37.12789,28.11873
20190606T0000,21.527891,28.97789,25.687895
20190607T0000,20.90789,30.807892,25.895811
20190608T0000,24.937891,32.60789,28.325388
20190609T0000,23.117891,34.61789,28.57164
20190610T0000,24.40789,34.33789,28.60081
20190611T0000,26.037891,29.31789,27.916222
20190612T0000,22.16789,31.16789,26.44998
20190613T0000,21.01789,29.32789,24.67289
20190614T0000,23.457891,29.33789,25.65039
20190615T0000,23.037891,29.197891,26.06164
20190616T0000,22.49789,31.357891,26.54914
20190617T0000,22.937891,30.91789,26.107473
20190618T0000,22.307892,30.387892,25.93164
20190619T0000,21.34789,29.877892,25.60164
20190620T0000,23.527891,30.90789,26.87831
20190621T0000,24.49789,33.72789,28.521645
20190622T0000,26.91789,34.06789,29.751642
20190623T0000,26.39789,36.87789,30.996222
20190624T0000,26.24789,42.87789,33.868725
20190625T0000,24.91789,34.71789,28.76539
20190626T0000,25.06789,30.787891,27.670807
20190627T0000,24.857891,30.97789,28.040392
20190628T0000,25.447891,32.44789,28.86164
20190629T0000,26.027891,35.05789,29.985392
20190630T0000,26.117891,31.72789,28.654974
20190701T0000,25.89789,29.57789,27.732056
20190702T0000,25.537891,30.34789,27.842474
